"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"臺南市白河區",22.62,23.02,23.22,23.53,23.75,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市北門區",16.21,16.58,16.99,17.25,17.68,"高齡","高齡","高齡","高齡","高齡"
"臺南市北區",12.74,13.06,13.48,13.78,14.12,"高齡化","高齡化","高齡化","高齡化","高齡"
"臺南市大內區",22.4,23.05,23.44,23.82,24.3,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市東區",11.27,11.66,12.14,12.49,12.94,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市東山區",21.76,22.12,22.58,22.76,23.05,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市官田區",16.19,16.5,16.61,16.73,16.94,"高齡","高齡","高齡","高齡","高齡"
"臺南市關廟區",15.8,16.07,16.5,16.78,17.11,"高齡","高齡","高齡","高齡","高齡"
"臺南市歸仁區",10.51,10.84,11.2,11.51,11.87,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市後壁區",23.11,23.46,23.74,23.91,24.25,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市佳里區",13.72,14.03,14.41,14.67,15.01,"高齡化","高齡","高齡","高齡","高齡"
"臺南市將軍區",19.24,19.57,20.06,20.28,20.56,"高齡","高齡","超高齡","超高齡","超高齡"
"臺南市柳營區",18.88,19.04,19.39,19.79,20.03,"高齡","高齡","高齡","高齡","超高齡"
"臺南市六甲區",16.48,16.75,17.12,17.43,17.69,"高齡","高齡","高齡","高齡","高齡"
"臺南市龍崎區",24.24,24.67,25.2,25.53,25.76,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市麻豆區",16.63,16.95,17.39,17.64,17.98,"高齡","高齡","高齡","高齡","高齡"
"臺南市南化區",20.38,20.81,21.17,21.66,22.02,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市南區",13.66,14.07,14.6,15.04,15.48,"高齡化","高齡","高齡","高齡","高齡"
"臺南市楠西區",20.43,20.96,21.24,21.67,22.01,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市七股區",19.03,19.12,19.36,19.57,19.74,"高齡","高齡","高齡","高齡","高齡"
"臺南市仁德區",11.81,12.12,12.46,12.8,13.09,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市山上區",19.42,19.81,20.21,20.38,20.56,"高齡","高齡","超高齡","超高齡","超高齡"
"臺南市善化區",13.95,14.12,14.24,14.41,14.52,"高齡化","高齡","高齡","高齡","高齡"
"臺南市西港區",15.03,15.21,15.46,15.7,16.06,"高齡","高齡","高齡","高齡","高齡"
"臺南市下營區",19.09,19.37,19.73,19.99,20.2,"高齡","高齡","高齡","高齡","超高齡"
"臺南市新化區",14.19,14.55,14.88,15.23,15.67,"高齡","高齡","高齡","高齡","高齡"
"臺南市新市區",10.93,11.2,11.44,11.77,12.07,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市新營區",14,14.28,14.66,14.94,15.35,"高齡","高齡","高齡","高齡","高齡"
"臺南市學甲區",15.5,15.79,16.21,16.56,16.86,"高齡","高齡","高齡","高齡","高齡"
"臺南市鹽水區",18.11,18.37,18.74,18.93,19.16,"高齡","高齡","高齡","高齡","高齡"
"臺南市永康區",8.5,8.78,9.12,9.4,9.72,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市玉井區",20.32,20.56,20.9,21.14,21.21,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市中西區",16.08,16.48,16.91,17.15,17.48,"高齡","高齡","高齡","高齡","高齡"
"臺南市左鎮區",25.44,25.97,26.59,26.8,26.95,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺中市北區",12.32,12.71,13.15,13.57,13.98,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市北屯區",9.33,9.62,9.94,10.24,10.55,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市大安區",15.29,15.53,15.83,16.05,16.25,"高齡","高齡","高齡","高齡","高齡"
"臺中市大肚區",11.03,11.32,11.71,11.97,12.36,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市大甲區",11.65,11.9,12.23,12.48,12.83,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市大里區",8.06,8.38,8.77,9.08,9.49,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市大雅區",7.96,8.22,8.49,8.73,8.98,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市東區",12.72,12.96,13.27,13.51,13.83,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市東勢區",17.2,17.46,17.9,18.17,18.45,"高齡","高齡","高齡","高齡","高齡"
"臺中市豐原區",11.51,11.84,12.2,12.48,12.82,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市和平區",15.1,15.36,15.42,15.8,16.04,"高齡","高齡","高齡","高齡","高齡"
"臺中市后里區",12.52,12.77,13.08,13.29,13.56,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市龍井區",9.48,9.71,9.96,10.22,10.38,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市南區",9.53,9.81,10.12,10.37,10.64,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市南屯區",7.56,7.86,8.17,8.46,8.73,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市清水區",12.44,12.71,13.03,13.35,13.64,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市沙鹿區",9.4,9.65,9.89,10.14,10.34,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市神岡區",10.81,11.12,11.38,11.7,12.07,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市石岡區",15.43,15.71,16.25,16.59,16.96,"高齡","高齡","高齡","高齡","高齡"
"臺中市太平區",9.08,9.38,9.78,10.07,10.35,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市潭子區",8.85,9.12,9.47,9.72,10.05,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市外埔區",11.98,12.24,12.46,12.67,13,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市烏日區",10.34,10.61,10.91,11.11,11.39,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市梧棲區",9.49,9.79,10.09,10.35,10.69,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市霧峰區",12.48,12.77,13.08,13.35,13.64,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市西區",12.41,12.82,13.3,13.66,14.08,"高齡化","高齡化","高齡化","高齡化","高齡"
"臺中市西屯區",8.38,8.66,8.95,9.19,9.52,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺中市新社區",16.93,17.19,17.57,17.92,18.2,"高齡","高齡","高齡","高齡","高齡"
"臺中市中區",15.19,15.61,16.21,16.62,17.19,"高齡","高齡","高齡","高齡","高齡"
"桃園市八德區",9.53,9.79,10.08,10.41,10.67,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市大溪區",11.85,12.06,12.39,12.7,12.96,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市大園區",9.96,10.19,10.37,10.63,10.81,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市復興區",11.28,11.26,11.53,11.65,11.68,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市觀音區",11.36,11.51,11.66,11.79,11.84,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市龜山區",9.57,9.81,10.03,10.35,10.61,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市龍潭區",10.44,10.69,11.03,11.43,11.76,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市蘆竹區",7.62,7.9,8.23,8.54,8.76,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市平鎮區",8.91,9.19,9.5,9.82,10.14,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市桃園區",9,9.32,9.65,9.97,10.33,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市新屋區",15.28,15.45,15.66,15.95,16.17,"高齡","高齡","高齡","高齡","高齡"
"桃園市楊梅區",9.47,9.73,10,10.25,10.47,"高齡化","高齡化","高齡化","高齡化","高齡化"
"桃園市中壢區",9.99,10.25,10.52,10.8,11.06,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市八里區",9.87,10.11,10.53,10.98,11.4,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市板橋區",11.02,11.5,12.05,12.54,13.05,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市淡水區",11.44,11.85,12.31,12.78,13.23,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市貢寮區",20.01,20.19,20.49,20.96,21.08,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新北市金山區",13.5,13.85,14.21,14.55,14.7,"高齡化","高齡化","高齡","高齡","高齡"
"新北市林口區",8.41,8.78,9.15,9.42,9.8,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市蘆洲區",7.66,8,8.44,8.79,9.17,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市平溪區",27.41,27.55,27.92,28.12,28.37,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新北市坪林區",22.34,22.56,22.94,23.41,23.81,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新北市瑞芳區",15.74,16,16.39,16.63,16.95,"高齡","高齡","高齡","高齡","高齡"
"新北市三峽區",9.73,9.98,10.29,10.59,10.93,"高齡化","高齡化","高齡化","高齡化","高齡化"
